,Descripción,Año,Mes,retroalimentacion
0,Hermoso lugar transporta tiempo Atención formidable vista preciosa habitaciones confortables Limpieza sanitización encanta,2021,3,1
1,excelente personal siempre sonrisa buen trato clientes panorámica habitaciones excelente siempre eventos realizarse Zócalo capitalismo su…,2021,3,1
2,atentos educados decepcionó comida comido mole negro rico fonditas,2021,3,0
3,Tal vez excelente ubicación hace dejen poner atención limpieza comodidad habitaciones si estancia temporada calor toca habitación vista hacia adentro prepárate recibir ventilador viejísimo solamente 🤷🏻‍♂️,2021,3,0
4,Vista fantástica Zócalo Catedral Comida servicio menos,2021,4,0
5,vista grata buen sabor alimentos trato amable,2021,3,1
6,buena atencion,2021,3,1
7,personal atento amable aire acondicionado habitaciones batallamos obtener servicio cuarto tarda salir agua caliente habitaciones solo silla elevador necesita modernizarse restaurante buena vista hace falta variedad menú,2020,10,0
8,gustó platillo nombre molcajete pechuga súper dura servicio atención personal entrada excelente personal doy estrellas carne sé pueden mejorar quiero regresar 😁,2021,3,1
9,Excelente lugar excelente atención,2021,4,1
10,Hermoso lugar bella histiria,2021,4,1
11,Excelente ubicación limpio alimentos ricos,2021,3,1
12,Visitamos terraza vista increíble buen protocolo contingencia comida dejó desear poca disponibilidad platillos mala relación calidadprecio Sabor común,2020,10,0
13,rico buffet platos chicos exageran tamaño cambian huevos rancheros,2020,4,1
14,bullicio calle Madero pierde completamente realmente hermoso instalaciones amplias limpias buffet variado sustancioso Encuentras lugares emblemáticos tiendas departamentales Así gran variedad restaurantes bares,2020,4,1
15,dieron desayuno mala señal tv mala señal Internet mala atención talvez compro medio expedia,2021,1,0
16,Maravilloso bonito tranquilo vista zócalo espectacular igual catedral atención recibida personal maravillosa,2020,4,1
17,buena atención costos accesibles comida rica vista zócalo excelente encanto estadía,2020,10,1
18,hospedarte aquí mejores vistas ciudad México frente hermoso Palacio Nacional imponente zócalo Catedral Si vienes plan conocer ciudad sitio indicado igual si tu…,2019,4,1
19,Excelente vista excelente servicio 😁,2021,3,1
20,Simplemente excelente trato servicio comodidad,2021,3,1
21,Excelente restaurante terraza ubicación frente Zócalo,2021,2,1
22,Mui mal actitud servicio ser botones tendriamos toallas limpias,2020,12,0
23,Excelente experiencia hospedaje personal atento felicitaciones,2020,12,1
24,¡La vista hacia zócalo catedral excelentes Aunque solo restaurante terraza servicio bueno calidad alimentos aceptable solo momento música Bunburysi volveria ir aunque llegué buscando restaurante vale pena visitarlo,2020,4,1
25,ubicación excelente centro histórico Ciudad México vista Zócalo edifico histórico infraestructura antigua épocas calor puede ser inconveniente ausencia aire…,2020,4,1
26,Acudi cenar terraza pues comida buena excelente Precios regulares vista preciosa agradable ambiente deja desear servicio casi min mesero mesa recibirnos recomiendo chocolate oaxaqueño rico frio,2019,4,1
27,buena vista,2021,1,1
28,estacionamiento huespedes si carro rentado problema vista bonita restaurante piso zocalo comida buena excelente personal amable,2019,4,0
29,Excelente servicio además plus restaurante terraza bar campanario Ubicación inmejorable pleno Centro Histórico,2017,4,1
30,Excelente servicio limpieza Ubicación primera,2020,11,1
31,lugar ubicado enfrente zocalo palacio nacionalla vista impresionantemuy patrioticason amables ubicacion privilegiadaa unas calles Torre latinoamericanapalacio bellas artes contraesquina…,2019,4,1
32,Buen lugar comer ver centro histórico eventos vista increíble Precio restaurante xP buffer incluye bebidas,2017,4,0
33,Excelente ubicación Histórico lugar cómodo,2019,4,1
34,Excelente servicio,2020,11,1
35,personal seguridad entrada realmente amable agradable ver personas recepción prestan atención buen trato menos conmigo familia noEl checkin pm tenían…,2020,4,0
36,Majestic Arquitectura colonial Confortables habitaciones Buena comida Vista grandiosa Zocalo capitalino,2017,4,1
37,limpiaron cuarto servía teléfono agua caliente salió regadera tapada,2020,12,0
38,comida mejor importa vista terraza única,2019,4,1
39,pagas vista cercanía Zócalo descuidado servicio bueno Reserva desayuno búfer incluidovale pena si sólo quieres llegar descansar cerca zona centro lugar indicado,2019,4,1
40,Hermoso localidad perfecta meseros toda gente servicio amables buena gente,2020,4,1
41,Mal servicio proveedores tardan bastante recibir pagos muchas veces tardan,2020,12,0
42,mal servicio aspecto nunca vuelvo ir,2021,1,0
43,Costobeneficio excelente ubicado calle Madero magnífica vista Zócalo tocó habitación desayuno buffet incluído súper cerca gran vista habitaciones restaurante bueno gran…,2018,4,1
44,Gran Lugar Excelente Ubicación Comida Rica,2020,6,1
45,terraza espectacular buffet buen precio actualmente tarde cuesta pp bebidas vale cada peso encanta tradición calidad solo lugar,2020,4,1
46,dónde personal restaurante discrimina turismo nacional aunado hecho habitación cucarachas estavionamiento puertas cerrarlas golpes fin viejo Sido remodelado años además cargar maletas mismo,2020,7,0
47,encantador romántico lugar sitio mucha historia verdad mejores esencia mejor ciudad México mejor enfrente palacio gobierno,2019,4,1
48,bonito vista espectacular recomendado buena comida restaurant,2019,4,1
49,Linda habitación limpia cama cómoda antigua tv obedecía control remoto botones tv canales obsoletos baño tina peligrosa llaves regadera difíciles de…,2020,4,1
50,Simplemente excelente,2020,4,1
51,Excelente bonito bien ubicado buen servicio mejor comida,2020,4,1
52,recomendable restaurante aunque costoso buen servicio sobretodo vista terraza hacia zócalo mejor,2020,4,1
53,Excelente ubicación frente Zocalo buen servicio limpieza,2020,4,1
54,gustó ubicación así atención buena higiene habitaciones confortables recomendable,2020,4,1
55,Espléndida localización amenidades habitación súper deleitable restaurante Terraza permite Magnífica vista zócalo además brindar bufete desayuno completo apetitoso caso…,2020,4,1
56,doy estrella solo positivo ubicación viejo mala atención elevador antigüo ocasiones tardan muchísimo atender noches nunca dejaron jabón recogieron toallas…,2020,4,0
57,Buen buen Buffet desayuno excelente zona,2019,4,1
58,Sólo restaurante terraza vista espléndida debido ubicación realza restaurante comida buena excelente postres dejan desear Podrían ofrecer más…,2020,4,1
59,experiencia terrible descansar imposible camas super incómodas duras techo lleno humedad pintura reventada causó alergia tremenda tina baño llena manchas pintura rota lo…,2020,4,0
60,Elevador manual demas acorde precioNo queja alguna mas bien senti agradado lugar tan cerca desea caminar lugares inseguros,2020,4,1
61,Buen servicio desafortunadamente llegar habitaciones listas embargo tomaron cuidado equipaje terminaba alistar habitaciones aire acondicionado necesitan…,2020,4,1
62,ESTABLECIMIENTO BIEN EXCELENTE CAMAS HABITACIÓNLA ATENCIÓN PARTE PERSONAL RECEPCION DIA LLEGAMOS MAL ENCARADO GROSERO CIERTO PUNTO,2020,4,1
63,edificio antiguo centro restaurant bueno servicio lleva palmas habitacion toco si aire ventana deberia considerar cambiar tipo habitaciones Personal general atento cordial,2019,4,1
64,Llegue pm errores personal reservo traspapelo reservacion entregaron cuarto pm pintando compresor habitaciones anexas apestado pintura posible formal,2020,4,0
65,Vista Restaurante,2020,4,1
66,bueno,2020,6,1
67,Excelente atención inmejorable vista Excelente ubicación gusto,2020,4,1
68,gustó antiguo mantengan estilo atmósfera cómodo cerca pleno centro histórico sugerencia incluir opciones veganas menú,2020,4,1
69,lugar hermosa vista disfrutar copa,2020,6,1
70,hablando solo restaurante “terraza majestic” desayuno buffet precio económico plus ofrece vista plancha zócalo,2020,4,1
71,super céntrico cerca Excelente servicio personal genial,2020,4,1
72,gusto estilo diferente resto buen servicio buenas instalaciones aparte ubicación perfecta situado cerca varios puntos turísticos Ciudad México recomiendo,2020,4,1
73,Excelente,2020,12,1
74,bien precio supongo q ubicación q excelente pleno zócalo embargo esperes lujos bastante básico wifi malo restaurante solo decente,2020,4,0
75,Gran corazón palpitante latir azteca,2020,4,1
76,confortable,2020,4,1
77,ubicacion calle Madero frente Zocalo atenta camarista,2020,4,0
78,Desagradable dio recepcionista Bell boy habitación quiso reserve segundo día agua caliente cómo once día único bueno refirindome personal los…,2020,4,0
79,Exelente vista plaza principal,2020,8,1
80,cuenta estacionamiento propio convenio alguno cercano pague diario pesos noche quede dias ruidoso agua caliente ocasiones dieron habitación “doble” camas individuales único rescatable restaurant vista Zocalo,2020,4,0
81,buena vista buen servicio cantina,2020,4,1
82,Viajo aleedesor veces mes hace años negocios vacaciones esel peor mehe hospedado aire acondicionado abanico muchoruidotodo eldia lanoche duelade cada cuartohace…,2020,4,0
83,lugar limpio buen rato escuchaba tocaban puerta golpeó nunca supe veniala pantalla pequeña tenia wireless intención descansar ver películas contactos y…,2019,4,1
84,terraza vista agradable Puedes ves toda plaza zócalo eventos mejor lugar visitar,2020,4,1
85,Excelente Creo falta decir lujo problemas agua nadie puede bañar chorro agua tina siquiera cumplía función unas vistas impresionantes zocalo catedral México,2020,4,1
86,recomiendo Vale pena Best Western,2020,4,1
87,Excelente atención buena,2020,4,1
88,colchon cama sucio persona encarga mantenimiento necesita ver resortes saltados incomodo dieron toallas tomar banono servia teléfonocuando pedi toallas llevaron cuando…,2020,4,0
89,variedad platillos ofrecen fin semana bufete desayunos terraza perdido variedad rescatable panesillos dulces café obstante si antoja algún ingrediente se…,2018,4,0
90,clasico clasico buenos malos BIEN UBICADO MADERO esquina Zocalo hace mismo via peatonal hara jalar maletas entrada salida metros…,2020,4,0
91,vista espectacular cena deja desear buffet bueno caro pagas,2018,4,0
92,lugar ve descuidado buffet variado costo uso terraza excesivo fin importante disfrutar momento,2020,4,0
93,Céntrico agradable antaño restaurant planta alta,2020,4,1
94,Excelente recepción excelente servicio excelente cuarto vista maravillosa desayuno buffet sabroso si visitan Ciudad México puedo recomendar ampliamente experiencia completa,2018,4,1
95,lugar historico,2020,4,1
96,Hola viajo muchas veces aňo primera vez mexico quiero destacar profesionalismo calidad persona gerente Octavio Sosa debo mencionar manera especial sevicio hacer cada huesped estancia perfecta supuesto VEMOS PRONTO,2020,4,1
97,antiguo bonito elegante restauran súper buen servicio bar recepción deficiente empleados ssin ganas trabajar,2020,4,0
98,UBICACIÓN BUENA PERSONAL RECEPCIÓN AMABLE BOTONES SI SECADORA PELO SERVIA HIJA ANDABA ENFERMA SI NECESITABA PERSONAS ASEO SI HACEN BIEN CUARTO CREO PUEDEN DAR MEJOR SERVICIO DARLE PLUS ZONA ENCUENTRA BUFETTE CARO,2020,4,0
