,opinion,mes,año,retroalimentacion
0,tercera vez razón volveremos todas comodidades casa,3,2011,1
1,Bueno esperaba dieron pareció sentimiento general lugar dinero quitándonos personal amable servicial sé punto importancia pedimos veces reparar secador habitación sólo hicimos´no cansaría hacer pedir par veces máquina café poner habitación lugar simplemente mala vibración tipo lugar imagino cobran estancia noches si alojé minutos pasado hora salida ubicación excelente habitación bien libras noche esperado volvería alojar aquí,1,2009,0
2,ubicación puede ser mejor ¡También cosita ruido trae tapones oídos pedir habitación interior habitaciones anticuadas podría usar trabajo general cómodo práctico carácter histórico da encanto vistas restaurante increíble especial actividad zócalo tiempo,11,2008,1
3,segunda estancia Majestic primera vez dieron habitación daba zócolo increíble encantó tener vista toda actividad incluyendo bandera mexicana izar lowering cada día leído comentario aconsejaron trae tapones oídos hicimos hizo estancia positiva segunda visita recientemente habitación vistas calle cerca decepcionó Mientras tranquilo perdimos actividad zócolo habitación adecuada primera clase restaurante adecuado comer allí nuevo puede obtener precio varias cuadras hizo apreciar personal su…,6,2008,0
4,Actualmente alojo aquí día necesita renovación justo habitaciones piso balcón increíble vista personal hecho posible vez encomiable Si gusta antiguos lugares estupendos ¡éste lugar,1,2008,1
5,lugar necesita renovación fila conexión funciona mejor zonas interiores atrio habitaciones precio genial personal atento profesional amable habitaciones limpias cosas principalmente trabajo centro ciudad grande así ruido calle edificio convertido hace años permanece intacto ruido calle parte vida Majestic restaurante terraza gran vista Zócalo comida buena bastante bien precio vista estupenda precio merece pena buen pedazo historia,2,2012,0
6,alojamos aquí tarifa reducida debo decir podría recomendar precio habitual normal edificio años mientras precioso oye ruido cada si vecinos ambos lados REAL agradable grandes bañeras habitaciones,1,2012,0
7,esposa alojado Majestic dos veces vez octubre nuevo febrero Si revisado dado cuatro estrellas Basado estancia reciente solo daría promedio categoría estrellas indudablemente estupendo caído difíciles establecimiento deterioradas vieja fecha habitaciones bastante cómodas casi primera camas firmes lea índices probado vida embargo parece bueno espalda así importa baños viejos necesitan ser modernizadas embargo encanta sólo increíblemente buena ubicación la…,2,2011,0
8,Majestic urgente necesidad reformas altura Best Western Si esperas calidad propiedades Unidos decepcionado edificio finas huesos hermosa azulejos antiguo ascensor patina claramente desaparecido especialmente notable habitaciones moqueta pared pared parece allí accesorios baño mal motel mexicano muebles seriamente deprimente colchones duras unas tablas cuanto restaurante piso arriba mediocre servicio indiferente lado positivo habitaciones limpias vista bastante fabuloso habitaciones dan frente prepárate para…,10,2011,0
9,único problema ruido calle habitación dormí bien después día entero visita aquí allá,4,2011,1
