calificacion,fecha,nombre,opinion
ui_bubble_rating bubble_40, marzo de 2011,yoliee48,"Este hotel será mi tercera vez en este hotel.  Hay una razón por lo que volveremos, todas las comodidades de casa."
ui_bubble_rating bubble_20, enero de 2009,alice48,"  Bueno, me esperaba mucho más de lo que me dieron. Me pareció que el sentimiento general del lugar era dinero quitándonos. El personal no era muy amable ni servicial. Yo sé es un punto sin importancia pero yo le pedimos ellos 4 veces a reparar mi secador en mi habitación y que sólo lo hicimos´no me cansaría hacer. Tuve que pedir un par de veces para la una máquina de café que poner en mi habitación. Este lugar simplemente tuvimos una mala vibración. Es el tipo de lugar donde me imagino que le cobran por una estancia de noches si me alojé una minutos pasado la hora de salida.   Pero la ubicación es excelente. La habitación estaba muy bien pero por 50 libras por noche, hubiera esperado un poco más. No me volvería a alojar aquí.  "
ui_bubble_rating bubble_40, noviembre de 2008,OtterWynn,"  La ubicación de este hotel no puede ser mejor. ¡También cosita que el ruido, trae tapones para los oídos y/o pedir por una habitación interior. Las habitaciones son anticuadas y podría usar un poco de trabajo, pero en general era cómodo y práctico. El carácter histórico de el hotel te da, algo de encanto. Las vistas desde el restaurante es increíble, en especial cuando hay actividad en el zócalo, que es todo el tiempo.  "
ui_bubble_rating bubble_30, junio de 2008,LindaAt,"Esta era nuestra segunda estancia en el Majestic. La primera vez nos dieron una habitación que daba al zócolo, lo cual fue increíble. Nos encantó tener una vista de toda la actividad, incluyendo la bandera mexicana izar, lowering cada día. Nos hubiera leído un comentario que nos aconsejaron que nos trae tapones para los oídos, lo cual hicimos, y nos hizo que nuestra estancia fuera mucho más positiva!  La segunda visita, más recientemente, tuvimos una habitación con vistas a la calle cerca, y nos decepcionó. Mientras que era más tranquilo y nos perdimos la actividad de la zócolo. La habitación era adecuada, no de primera clase.  El restaurante era adecuado, pero que no comer allí de nuevo. Se puede obtener por el precio más varias cuadras.  Nos hizo apreciar el personal y su,…"
ui_bubble_rating bubble_50, enero de 2008,Chris S,  Actualmente me alojo aquí día 4 de 6 en el hotel necesita una renovación pero se siente justo. Yo estoy en una de las habitaciones en el 6o piso con un balcón y una increíble vista. El personal ha han hecho más de lo posible para mí más de una vez y es encomiable por eso! Si te gusta hoteles antiguos en lugares estupendos ¡éste es el lugar para ti!  
ui_bubble_rating bubble_30, febrero de 2012,matman830,"El lugar necesita renovación, fi-la conexión funciona mejor en las zonas interiores del atrio que en las habitaciones, pero por el precio es genial. El personal es atento, profesional y amable. Las habitaciones están limpias, y cosas principalmente trabajo. El hotel está en el centro de una ciudad grande, así que hay un poco de ruido en la calle, pero el edificio fue convertido en hotel hace 70 años, y permanece intacto. el ruido de la calle era parte de su vida. El Majestic tiene un restaurante en la terraza con una gran vista del Zócalo. La comida es buena y está bastante bien de precio, pero la vista es estupenda. Por el precio, merece la pena, y un buen pedazo de historia."
ui_bubble_rating bubble_30, enero de 2012,abtraveler_12,"Nos alojamos aquí en una tarifa muy reducida, pero debo decir que no podría recomendar este en su precio habitual normal. El edificio es 400-algunos años y mientras precioso, se oye el ruido cada si tienes vecinos a ambos lados. Pero tenían REAL y muy agradable grandes bañeras en las habitaciones ..."
ui_bubble_rating bubble_30, febrero de 2011,Rick049,"Mi esposa y yo nos hemos alojado en el hotel Majestic dos veces, una vez en octubre de 2009, y de nuevo en 2011 febrero. Si me habían revisado en 2009, le hubiera dado cuatro estrellas. Basado en nuestra estancia más reciente, solo le daría una ""promedio"" categoría 3 estrellas. Este es indudablemente un hotel estupendo caído en más difíciles. todo el establecimiento se siente deterioradas, vieja y fuera de fecha. Las habitaciones son bastante cómodas, pero casi de primera. Las camas son algunos de los más firmes (lea: índices) que he probado en mi vida. Sin embargo, me parece que es bueno para la espalda, así que no me importa. Los baños son viejos y necesitan ser modernizadas. Sin embargo, hay algo de este hotel me encanta, y no es sólo la increíblemente buena ubicación en la,…"
ui_bubble_rating bubble_20, octubre de 2011,MsXina,"El Majestic es una urgente necesidad de reformas y no está a la altura de el Best Western. Si esperas la calidad de sus propiedades en los Estados Unidos, estarás muy decepcionado. El edificio tiene finas huesos, hermosa azulejos y un antiguo ascensor pero la patina tiene claramente desaparecido; esto es especialmente notable en las habitaciones. La moqueta de pared a pared parece que ha estado allí desde 1975 y los accesorios del baño están en mal estado. El 70 motel mexicano muebles está seriamente deprimente y los colchones son duras como unas tablas. En cuanto al restaurante en el piso de arriba, es mediocre y el servicio indiferente. En el lado positivo, las habitaciones están limpias y la vista es bastante fabuloso desde las habitaciones que dan al frente. prepárate para,…"
ui_bubble_rating bubble_40, abril de 2011,MW1966,El único problema es el ruido de la calle o la otra habitación pero dormí muy bien después de que el día entero visita aquí y allá.
ui_bubble_rating bubble_30, abril de 2012,JHSL,"El Best Western Majestic no es un hotel lujoso de ninguna manera, pero tiene encanto del viejo mundo con sus azulejos talavera y ascensor con una puerta de seguridad. Lo mejor de este lugar es su ubicación: justo en el Zócalo, a un tiro de piedra del Palacio Nacional y la Catedral Metropolitana, el Templo Mayor, parada de metro, parada Turibus, todo tipo de restaurantes y tiendas. Ten en cuenta que aunque la vista es estupenda para las habitaciones que dan al Zócalo, puede ser bastante ruidosa con la 6 a.m. diaria ceremonia recaudación de bandera, campanas de la iglesia en la hora y cuarto de hora, manifestantes, tráfico, etc. También, las habitaciones no tienen aire acondicionado y nevera."
ui_bubble_rating bubble_30, abril de 2012,ektarama,"si hubiera pagado la tarifa anunciada hubiera clasificado no inferior a lo hice. Mi habitación daba al Zócalo, lo que lo hace sobre una habitación de $1.000.000 de pesos sobre esa base solos. Pero eso románticas vistas viene con un precio:5.55 am, cuando la marcha banda emerge de la puerta del palacio nacional en el extremo más lejano del zócalo y sigue hasta la bandera caña por el ritual diario de izar la bandera mexicana, lo cual implica un montón de bugles y tambores durante unos 15 minutos. No tuve un problema con esto y por el 4Â° mañana dormimos a través de ella, pero algunos de mis colegas en otras habitaciones también frente al Zócalo no estaban muy contentos con ello. así, los timbres de botones de la catedral metropolitana necesidad de asegurarse de que la mayoría de,…"
