,calificaciones,fechas,reseñas,autor
0,5 de 5. Excelente,7 de may de 2021,Sin reseña,Mallinaly
1,5 de 5. Excelente,6 de may de 2021,Sin reseña,Arturo
2,5 de 5. Excelente,15 de abr de 2021,,Graciela
3,5 de 5. Excelente,3 de abr de 2021,Sin reseña,Adolfo
4,5 de 5. Excelente,24 de mar de 2021,"Este Hotel es un imprecionante edificio, lleno de historia y belleza, aqui se toman las mas lindas fotos. En general muy bonito y muy comodo.",Cliente verificado
5,5 de 5. Excelente,8 de mar de 2021,Sin reseña,gustavo
6,5 de 5. Excelente,15 de feb de 2021,El hotel es una de las edificaciones más bellas de la Ciudad de México por lo que vale la pena visitarlo,Cliente verificado
7,2 de 5. Malo,5 de feb de 2021,"El check-in muy bien, pero en la habitación había ropa del huésped anterior... Se entiende que que hay mucho ruido de tuberías al ser un edificio tan antiguo, pero no es aceptable que el agua comience a salir por el drenaje. El staff se disculpó y solo dijeron que lo iban a atender. Desilusionante la estancia.",Cliente verificado
8,5 de 5. Excelente,28 de ene de 2021,Sin reseña,Cliente verificado
9,5 de 5. Excelente,16 de ene de 2021,"Todo estuvo muy bien, en tiempos de pandemia solo agregaría platos y opciones al menú.",Cliente verificado
10,5 de 5. Excelente,4 de ene de 2021,"Es un lugar increíble, parece trasladarte en el tiempo, excepcional en el servicio, totalmente por encima de los estándares de higiene y limpieza. Un hotel único",Darío Amado
11,5 de 5. Excelente,19 de dic de 2020,Sin reseña,Ivonne
12,5 de 5. Excelente,17 de dic de 2020,"Es complicado por cuestión del COVID no poder ver el hotel en su esplendor, pero tienen las medidas que nos hacen sentir seguros, gracias por su servicio de hospitalidad y desistan vendrán tiempos mejores",Jose angel
13,4 de 5. Bueno,8 de dic de 2020,Hermoso y excelente servicio,ERIK ANGELES
14,5 de 5. Excelente,5 de dic de 2020,Precioso hotel a unos pasos del zócalo de la ciudad! Personal muy amable y la comida en la terraza espectacular!! Lo recomiendo al 100😊,"NormaZ, Tijuana BC"
15,5 de 5. Excelente,17 de nov de 2020,Sin reseña,jose de jesus
16,5 de 5. Excelente,5 de nov de 2020,Sin reseña,Cristina
