,opinion,año,mes,retroalimentacion
0,Sin reseña,2021,5,1
1,Sin reseña,2021,5,1
2,Sin reseña,2021,4,1
3,Sin reseña,2021,4,1
4,"Este Hotel es un imprecionante edificio, lleno de historia y belleza, aqui se toman las mas lindas fotos. En general muy bonito y muy comodo.",2021,3,1
5,Sin reseña,2021,3,1
6,El hotel es una de las edificaciones más bellas de la Ciudad de México por lo que vale la pena visitarlo,2021,2,1
7,"El check-in muy bien, pero en la habitación había ropa del huésped anterior... Se entiende que que hay mucho ruido de tuberías al ser un edificio tan antiguo, pero no es aceptable que el agua comience a salir por el drenaje. El staff se disculpó y solo dijeron que lo iban a atender. Desilusionante la estancia.",2021,2,0
8,Sin reseña,2021,1,1
9,"Todo estuvo muy bien, en tiempos de pandemia solo agregaría platos y opciones al menú.",2021,1,1
10,"Es un lugar increíble, parece trasladarte en el tiempo, excepcional en el servicio, totalmente por encima de los estándares de higiene y limpieza. Un hotel único",2021,1,1
11,Sin reseña,2020,12,1
12,"Es complicado por cuestión del COVID no poder ver el hotel en su esplendor, pero tienen las medidas que nos hacen sentir seguros, gracias por su servicio de hospitalidad y desistan vendrán tiempos mejores",2020,12,1
13,Hermoso y excelente servicio,2020,12,1
14,Precioso hotel a unos pasos del zócalo de la ciudad! Personal muy amable y la comida en la terraza espectacular!! Lo recomiendo al 100😊,2020,12,1
15,Sin reseña,2020,11,1
16,Sin reseña,2020,11,1
17,"Pocos hoteles en el mundo tiene riqueza lo siguiente: -Historia -Ubicacion -Arquitectura -Lujo -Atencion al cliente -Vista memorable a la ciudad El Gran Hotel de la Ciudad de Mexico, lo tiene todo!",2020,10,1
18,Sin reseña,2020,10,1
19,Sin reseña,2020,10,1
20,"Es un lugar increíble, parece trasladarte en el tiempo, excepcional en el servicio, totalmente por encima de los estándares de higiene y limpieza. Un hotel único",2021,1,1
21,Sin reseña,2020,12,1
22,"Es complicado por cuestión del COVID no poder ver el hotel en su esplendor, pero tienen las medidas que nos hacen sentir seguros, gracias por su servicio de hospitalidad y desistan vendrán tiempos mejores",2020,12,1
23,Hermoso y excelente servicio,2020,12,1
24,Precioso hotel a unos pasos del zócalo de la ciudad! Personal muy amable y la comida en la terraza espectacular!! Lo recomiendo al 100😊,2020,12,1
25,Sin reseña,2020,11,1
26,Sin reseña,2020,11,1
27,"Pocos hoteles en el mundo tiene riqueza lo siguiente: -Historia -Ubicacion -Arquitectura -Lujo -Atencion al cliente -Vista memorable a la ciudad El Gran Hotel de la Ciudad de Mexico, lo tiene todo!",2020,10,1
28,Sin reseña,2020,10,1
29,Sin reseña,2020,10,1
30,Su arquitectura y la amabilidad del personal especialmente de José Luis y Jessica (concierge),2020,2,1
31,Sin reseña,2020,2,1
32,Exelente servicio El personal muy amable Una vista hermosa,2020,1,1
33,La arquitectura del inmueble y las gentileza del personal así como las comodidades ofrecidas y la excepcional recepcion,2020,1,1
34,Sin reseña,2019,12,1
35,Estancia perfecta,2019,12,1
36,"Excelente muy lindo, cómodo, servicio y atención de primera. Linda vista Una recomendación aclarar como funciona el servicio de parking al hacer el check in.",2019,12,1
37,"Todo me gusto, el recibimiento de Salvador, y en resepcion el de Jose Luis",2019,12,1
38,"Las instalaciones estan adorables. La vista al zocalo, el elevador antiguo, los vitrales, etc.",2019,11,1
39,"Increíble lugar , la ubicación , la vista, el mantenimiento impecable, disfrutamos del atardecer en la preciosa terraza y la carne espectacular",2019,11,1
40,Su arquitectura y la amabilidad del personal especialmente de José Luis y Jessica (concierge),2020,2,1
41,Sin reseña,2020,2,1
42,Exelente servicio El personal muy amable Una vista hermosa,2020,1,1
43,La arquitectura del inmueble y las gentileza del personal así como las comodidades ofrecidas y la excepcional recepcion,2020,1,1
44,Sin reseña,2019,12,1
45,Estancia perfecta,2019,12,1
46,"Excelente muy lindo, cómodo, servicio y atención de primera. Linda vista Una recomendación aclarar como funciona el servicio de parking al hacer el check in.",2019,12,1
47,"Todo me gusto, el recibimiento de Salvador, y en resepcion el de Jose Luis",2019,12,1
48,"Las instalaciones estan adorables. La vista al zocalo, el elevador antiguo, los vitrales, etc.",2019,11,1
49,"Increíble lugar , la ubicación , la vista, el mantenimiento impecable, disfrutamos del atardecer en la preciosa terraza y la carne espectacular",2019,11,1
50,"Me gusto todo , especialmente la atención del personal ; súper amables todos y también me encanto la limpieza en las habitaciones ,,, sabanas , toallas , todo impecable , también la comida ( el desayuno buffet) , la terraza una vista al socalo muy bonita .,",2019,10,1
51,Sin reseña,2019,10,1
52,Hermoso hotel enfrente del Zócalo excelente servicio y súper lujoso,2019,10,1
53,Todo muy bien ! Me dieron un ascenso de habitación con muy bonita vista,2019,9,1
54,Excelente opción y ubicación muy amables en el hotel y muy buenas recomendaciones de turismo que nos dieron,2019,9,1
55,"EXCELENTE HOTEL Y MUY BUEN SERVICIO, SOLO COMO COMENTARIO PODRIAN TENER TOALLAS MAS SUAVES MIL GRACIAS",2019,9,1
56,Todo es perfecto! Gracias a jaime y salvador y todo el personal que hizo lo mejor para atendernos,2019,9,1
57,"Excelente estancia, una atención premier!! Mejor de lo que me imaginaba.",2019,9,1
58,Me parecen únicos los elevadores antiguos y el domo de vitrales de colores es hermoso y su terraza con vista a la explanada al zócalo,2019,9,1
59,Sin reseña,2019,8,1
60,"No había agua en la noche a las 3:00 a.m. ES una lastima, ya que buen servicio en generala.",2019,8,1
61,Un edificio hermoso y bien conservado. Gran atención del personal.,2019,8,1
62,"Es un gran hotel, hermoso en todo, lugar súper, terraza hermosa vista, servicio extraordinario.",2019,8,1
63,exelente.un buen fin de semana de descanso.,2019,8,1
64,"Excelente la atención, el servicio es de primera y el lugar es precioso",2019,7,1
65,Sin reseña,2019,7,1
66,Sin reseña,2019,7,1
67,"Atención personalizada de excelencia ,ubicacion y transporte accesibles",2019,7,1
68,"Cumplió mis expectativas, espectacular hotel con vista privilegiada desde la habitación que se me asignó. El personal muy profesional y pendiente de que mi estancia fuera placentera. Muy recomendable.",2019,7,1
69,excelente servicio y excelente trato. el elegir este hotel para la fiesta de xv años de mi hija fue una acertada eleccion. aunado a las comodas habitaciones,2019,7,1
70,"Mit lindo hotel, super bien ubicado, bonito restaurante terraza con vista magnífica al Zócalo, buena comida. Lo recomendo.",2019,7,1
71,Excelente en TODO,2019,7,1
72,ME GUSTO LA HABITACIÓN UN POCO MEJORADA EN CUANTO A INSTALACIONES,2019,7,1
73,"Me gusto la calidad de las personas que lo reciben, el lugar es espectacular y la mejor ubicación, no me gusto que el aire acondicionado de la habitación no funcionara bien",2019,7,1
74,Sin reseña,2019,6,1
75,Sin reseña,2019,6,1
76,"servicio excelente, instalaciones fabulosas, atención fabulosa, ubicación perfecta, sin duda volvería. Muy recomendable",2019,6,1
77,Sin reseña,2019,6,1
78,"Tiene una excelente ubicación., buen servicio, excelente decoración",2019,6,1
79,Sin reseña,2019,6,1
80,"Mit lindo hotel, super bien ubicado, bonito restaurante terraza con vista magnífica al Zócalo, buena comida. Lo recomendo.",2019,7,1
81,Excelente en TODO,2019,7,1
82,ME GUSTO LA HABITACIÓN UN POCO MEJORADA EN CUANTO A INSTALACIONES,2019,7,1
83,"Me gusto la calidad de las personas que lo reciben, el lugar es espectacular y la mejor ubicación, no me gusto que el aire acondicionado de la habitación no funcionara bien",2019,7,1
84,Sin reseña,2019,6,1
85,Sin reseña,2019,6,1
86,"servicio excelente, instalaciones fabulosas, atención fabulosa, ubicación perfecta, sin duda volvería. Muy recomendable",2019,6,1
87,Sin reseña,2019,6,1
88,"Tiene una excelente ubicación., buen servicio, excelente decoración",2019,6,1
89,Sin reseña,2019,6,1
90,"Siempre había querido hospedarme ahí, excelente experiencia. Desde la bienvenida con una copa de champán, hasta la amabilidad y rapidez para el taxi al aeropuerto. Comodidad y confort en la habitación. Ubicación inmejorable, el hotel una joya. Gracias.",2019,4,1
91,Sin reseña,2019,4,1
92,Sin reseña,2019,4,1
93,Original. Limpio. Centrico. Excelente servicio. Cada detalle único.,2019,4,1
94,La decoración es increíble. Volveré pronto ya que me atendieron excelentemente,2019,4,1
95,"Excelente servicio, ubicación y seguridad pero sobre todo el hotel esta precioso.",2019,4,1
