,opinion,mes,año,retroalimentacion
0,"El Hotel es una reliquia, un techo espectacular, agua y manzanas en mesas repartidas por el hotel. Las habitaciones son cómodas, el baño muy completo. El desayuno buffete abundante. Muy buen servicio.",5,2020,1
1,"Es un excelente lugar para compartir pues la atencion de la srita Maria Candelaria     y el capitan   Raul Cangas     han  sido tan serviciales y amables. La comida es deliciosa, el costo es muy accesible y es un ambiente  muy agradable. Felicidades.",4,2021,1
2,"Muy buen ambiente en la terraza la verdad pasamos un rato muy agradable, la comida súper rica y los postres deliciosos recomiendo la bomba de chocolate. Con todas las medidas de seguridad por la pandemia. El equipo muy amable y nos tomaron unas fotos increíbles en la terraza  Muchas gracias a Alejandro, Fernando, Bruno y capitán César",4,2021,1
3,"Excelente servicio por Alejandro, capitán Cesar Mondragón; muy limpio, muy cuidado y sanitizado. La vista es maravillosa y la comida deliciosa y sobretodo la brocheta de pollo y la bomba de chocolate,",4,2021,1
4,Todo muy delicioso y muy buena atención  10/ 10 excelente lugar para pasar una excelente velada excelente servicio del capitán Hugo Arzate Maria Candelaria Lázaro y Bruno muy buen lugar super recomendable,4,2021,1
5,"Este hotel está ubicado lejos de la zona principal de turismo en Ciudad de México, que es la Zona Rosa. Sin embargo, está ubicado fantásticamente en el zócalo, la catedral y a Templo mayor en el corazón del centro histórico. El hotel en sí es muy imponente en un hermoso edificio. Por dentro está basado en un enorme vestíbulo con un techo de Tiffany y Art Deco ironwork. El vestíbulo es grande sin embargo utiliza para bodas y fiestas aparte. Estábamos ahí por la noche el sábado por la noche, y cuando llegamos nos pidieron a firmar una carta a decir que nos sabía que sería un ruido boda allí, y que nos habían informado, perdonaron ningún derecho a reclamárselo compensación por el ruido. Nos gustó estar informados, pero no me preguntó a waivers señal. Y era ruidosa, pero dormimos,…",8,2007,1
6,"Pasamos tres noches en el Gran Hotel de la Ciudad de México en Ciudad de México. Este edificio 100 años elegante es algo que tienes que ver! Incluso si te escoger no quedarse aquí, asegúrate de ir andando a tomar un vistazo en el vestíbulo y el cristal techo auténtico de Tiffany. Las habitaciones son extremadamente confortable, limpio y actualizado con tenía de canopy y grandes bañeras de mármol, y la ubicación de la zócolo es perfecto para hacer turismo en el distrito histórico. No hay necesidad de taxis. Cenamos en el restaurante una noche y disfrutamos de la comida mucho. Aunque se trata de un"" lugar elegante ""Grand Hotel de tipo, éste no es un ""recargos por servicios"", gingo como un hotel Sheraton. No te encontrarás un montón de americanos, aunque ellos hablaban inglés en la,…",3,2007,1
7,"Nos alojamos aquí 4 noches y nos encantó. La ubicación es fantástica al estar prácticamente en el zócalo, así que es ideal para hacer turismo durante el día. El centro histórico, increíblemente, es muy tranquilo en la noche con un montón de los restaurantes cierran temprano. Una vez que le cogimos el situación de taxi lo solucionaron (crimen de taxi es tristemente abundante en Ciudad de México, así que tienes que estar muy cuidadoso) fuimos en otro lugar para la cena y las bebidas y tuvimos un tiempo estupendo del hotel es encantador, la precioso techo de cristal de Tiffany junto con la encantadora, grandes birdcages le doy la entrada un vistazo muy opulento. Teníamos una habitación estándar con vistas a una calle lateral y el baño y el dormitorio estaban muy bien decorada y era,…",5,2006,1
8,"  Mis amigos y yo, nos encontramos tiradísimos en Ciudad de México, en el medio de la noche cuando se canceló nuestro vuelo, y la persona en el aeropuerto nos dieron una reserva en este hotel. No llegamos hasta 2:30 El personal era increíblemente servicial y amable. Nos consiguieron en una habitación bonita, nos ayudaron con el equipaje, y con el teléfono, así que pudimos llamar a casa. El hotel es muy bonito y está en una zona estupenda de la ciudad. Definitivamente, se lo recomendaría a cualquiera que.  ",5,2006,1
9,"Estuvo excelente el servicio y la atención, por parte del capitán Hugo Arzate y sus colaboradores: Miriam Vasquez y Marcelo Ordiña. La comida ed muy rica, igual los postres, sobre todo la ""bomba de chocolate"". Lo recomendamos ampliamente. Felicitaciones.",4,2021,1
10,Excelente servicio comida deliciosa y súper atención del Mesero Marcelo orduńa  Mirian Vázquez y capitán Hugo arzate todo muy rico y la atención muy buena súper recomendable volveré a regresar siempre que venga a cdmx,4,2021,1
11,"El mejor lugar de la ciudad para hospedarse y comer, la terraza es imperdible, la arquitectura del lugar es única y muy representativa, la atención del personal lo hacen sentir en casa, gracias a ""La chula"". Volveremos seguramente, es un sitio que se debe visitar obligadamente, seguro volveremos. Cerramos nuestra visita a la ciudad con broche de oro. gracias al capitán Hugo y María Candelaria por su excelente atención.",4,2021,1
12,"La comida de la terraza es espectacular y súper rica, la vista es increíble. Las instalaciones siempre limpias, en muy estado, admirar el vitral del interior es una experiencia súper padre. Definitivamente, súper recomendable, mi lugar favorito en el centro histórico.",4,2021,1
13,"Es mi primera vez la comida está muy rica y una muy bonita vista  y disfrutamos mucho la estancia aquí  gracias por la atención Capitán sersar, María candelaria y Diego, esta muy bonito el hotel  el brital",4,2021,1
14,"Agradezco el excelente servicio del capitan Raúl Cangas, María  Candelaria y Diego que me brindaron y la atención que me dieron, y la buena calidad de los platillos que deguste.  Fue totalmente una sorpresa el recibir el pastel de cumpleaños.",4,2021,1
15,"Marcel Orduña y Miriam Vazquez una excelente atención, la vista muy agradable y las mezcalitas deliciosas... El edificio como tal es un espectáculo visua. La salsa que te hacen al.momenyo es deliciosa",4,2021,1
16,"Tengo que reconocer que la decisión de hospedarnos en el Hotel, me costó mucho trabajo por el tema de la pandemia, pero el hecho de saber la historia que representa y saber que han grabado videos y peliculas, me llenó de emoción.. es una experiencia increible, todo el personal cuenta con las normas de seguridad y sanidad, pero eso no es todo, cenamos en la Terraza, la vista es fenomenal, los alimentos exquisitos y el trato del personal, superior! Que agradable experiencia, algo que tengo la tranquilidad que no voy a olvidar. 🥰🥰🥰",3,2021,1
17,"Excelente servicio. El personal: Miriam Vázquez, Marcelo Orduña y el Cap. Hugo Arzate, más que amables y atentos. La comida es deliciosa. Recomiendo ampliamente la parrillada mixta, la ensalada mándala y acompañarlo con algo de vino o una sangría, además de los postres. Prueben el helado de queso.",4,2021,1
