,opinion,mes,año,retroalimentacion
0,detrás Catedral  estaciones metro cerca caminando recorres centro histórico museo bellas artes Alameda Central calle Madero bonito sabíamos fines semana cierran acceso zócalo  pm allí palacio gobierno Llegamos aeropuerto  taxi cómo entrar dejarnos hostal cercano  cuadras oscuro solitario patrullemos alrededor zócalo calles aledañas caminar maletas experiencia desagradable felizmente hacen limpieza tan solas tomar cuenta si van regresar tarde solo podrán metro Tomamos cuarto privado pequeño los…,9,2019,0
1,huele horrible caño baños sucios apestan lavan bien ruido bar arriba escucha pisos además huéspedes hacen fiesta cuartos deberían permitirlo sábanas sucias toco funda manchada sangre trato personal grosero interesa tener buen trato huésped dan prioridad vienen fiestas tocó quinto piso cierran baños llave bajar pisos poder usar baño ,8,2019,0
2,tercera vez hospedo cómodas amplias baños también desayuno cereales panes jamón queso huevos cocina cómoda elementos cocinar si no restobar ingreso buenos precios opciones terraza preciosa buen lugar reunirse huéspedes además bar tardecitanoche pasa buena música ubicación ideal moverse pie zócalo lugares centro histórico tenés metro cuadra puerta parada bus turístico además recepción agencia turismo ofrece buenas opciones recorrer DF lugares cercanos Tantos chicos recepción desayuno agencia amables dispuestos a…,2,2019,1
3,ubicación mejor poca distancia estación metro calle Madero tiendas negocios ascensor plus agradece tan cansado muchas pesadas maletas desayuno básico limitado aceptable personal recepción raro check in tocó chico super amable carismático resto chicos muestran desinteresados fastidiados atender huéspedes peor personal señora gorda cabello medio rizado color café restaurant si preguntas mira cómo si trabajara ahí todavía voltea ojos hace muecas definitivamente odia trabajo pena terraza sólo abierta tardes…,6,2019,1
4,lugar queda buena ubicación respaldo catedral metropolitana visión terraza plaza zócalo catedral Fácil acceso metro limpias cuentan servicio desayuno,4,2019,0
5,situado gran ubicación mejor hostal alojamos  dormitorios cama tan pequeño afortunadamente dos colegas nunca  noches baño compartido bien limpio buena ducha caliente camas cómodas muchas fuentes sobresalían todas partes convirtió soportable tras unas cuantas noches alojamos  noches túnel ruido todas persianas dan medio puedes mirar hacia abajo restaurante regla tranquila tiempo después  pm bastante ruidoso zona recepción hasta…,2,2012,1
6,situado fantástica ubicación detrás catedral poca distancia andando centro histórico parques museos grandes almacenes gran supermercado cerca cocina comunitaria máquina café asientos aire libre terraza vistas plaza principal bar planta superior desayuno bueno desgracia proporcionan verdadero café arriba personal amable servicial remitiese reservas viajes autobús Mochis pueden ser ruidosas patio vuelve noche molestaron baños comunes limpias veces atención servicios por…,12,2011,1
7,Mundo joven Catedral excelentemente ubicado justo detrás Catedral Metropolitana masiva y consiguiente sólo manzana ciudad Zócalo Templo Mayor Palacio Nacional más puede ser primera inconveniente hostal piso bullicioso albergue alojado sólo ruido calle tráfico música alarmas coches calle construcción justo enfrente medianoche ruido dentro hostal patio interior embudos cada sonido recepción restaurante vestíbulo través suelos hostal rebotando pasos antiguos muros piedra camino pareja suite privada ª planta aunque lo…,1,2012,0
8,primer día DF disfrutamos estancia hostal problema servicial llegada aunque llegué  mañana ubicación fantástica si quieres hacer turismo estación metro Zócalo justo vuelta esquina y tomamos  días allí forma estupenda hacer viaje incluso económico naturalmente lugares interés justo puerta leí críticas albergue di cuenta quejas ruido barrestaurante nunca problema parece cierran bastante pronto al menos semana quitaron problemas dormir culpa ruido tráfico calle mi daba catedral pero…,2,2011,1
9,Si quieres viajar ciudad medico conocer mejores sitios turísticos gastar excelente opción ubicación permite moverte caminando lados embargo mismo movimiento permite descanses bien suele ser ruidoso mismo tipo huéspedes aloja,5,2018,1
10,buena ubicación precio accesible limpias gente amables pesar bar parte alta edificio interferencia ruido noche Solamente cambiará menú desayuno,4,2018,1
11,estadía mundo joven estupenda Excelente desayuno atención buena onda gente personal huéspedes buena ubicación zona segura caminar noche,4,2018,1
