,Descripción,Año,Mes,retroalimentacion
0,Simplemente mejores experiecias hospedaje vista excelente personal amable accesible cómodas impecables precio realmente amigable bolsillo desayuno incluido terraza chida…,2020,10,1
1,Atención Realmente mala recibe recepción amable cero disposición atender solicitudes huésped Desayuno mismo días Pan jamón queso fruta cereal leche café malo que…,2020,4,0
2,Excelente gracias hospitalidad ayuda recepcionisto francés,2021,4,1
3,cerca zocalo trato personal bueno tan bueno veces escucha ruido,2021,3,1
4,Excelente atención aunque solo dure  noche  ubicación maravillosa personas súper amables,2021,3,1
5,ubicación inmejorable limpias cómodas además cuenta terraza vista increíble sirven alimentos bebidas lamentablemente nunca llegó pedido luego  horas espera jeje,2021,3,1
6,mejor  Súper amables  limpio excelente ubicación,2021,3,1
7,Buena atención cómodas personal amable,2021,3,1
8,lugar tranquilo limpio cómodo Mus agusto terraza ver vista centro,2021,2,1
9,Recomendable  limpio tranquilo central desayuno bien,2021,2,1
10,escucha todo goteras atención agradable,2021,2,0
11,hospedaje bonito económico corazón centro histórico ciudad,2021,2,1
12,Excelente servicio cliente ubicación perfecta uso protocolos salud dio seguridad momento,2021,1,1
13,leído comentarios desfavorecedores recientemente fín pasado verdad buena atención servicio leí aplicó experiencia Camas limpias lugar tranquiloel chico barra cabello largo…,2020,9,1
14,desayuno limitado pesar bajé temprano tiempo tenia muchas espectativas hospedarme lugar sucedió quedó solo eso volvería hospedar ahí servicio parte seguridad el…,2020,12,0
15,atención personal insuperable atentos atentos único malo despotismo dueño gerente sé trata empleados maneras modos llamarle atención empleado…,2020,12,1
16,Cómodo limpio excelente ubicación amable personal,2021,1,1
17,buena ubicación caro ofrese probable vuelva,2021,2,1
18,super céntrico excelente relación costo  calidad,2021,1,1
19,Deficiente servicio agua caliente habitaciones precio acorde precio pagas recomienda mochileros exigentes falta mejorar,2021,1,0
20,atencion desayuno pesima sirven mala gana comida escasa si ahi  esperando  nada vista terraza bonita igual atención restaurante pesima meseros…,2020,12,0
21,buena grata experiencia hostel agradables atención personal buena volvería quedar aquí queda cerca todo precio accesible  pesos compartida wifi desayuno incluido Muchas gracias,2020,11,1
22,Lugar relación calidadprecio Buen desayuno solo noches escucha sonido tuberías recorren edificio Buena ubicación,2020,9,1
23,atención buena personal amable limpia,2020,12,1
24,lindo buena zona baño bastante sucio sabanas teoria limpias traian pelos Solo puedes entrar pm osea controlaban fiesta madre,2020,11,0
25,mas caro Centro agua caliente temprano mañana habitacion  estupida regadera botoncito wifi peor solo barra señal habitacion increible tan caro mas basico wifi agua caliente pueden hacer bien,2020,11,0
26,Lugar pleno centro Cd Si solo deseas ir dormir recomendable limpia cómoda lamentablemente restringida salida después  hrs regañadientes dejó vigilante salir café cenar,2020,11,1
27,céntrico cómodas limpias pareció guardia dejara salir noche siendo hacer check in dijeron después  pm guardia abría puerta me…,2020,11,1
28,tuberías hacen demasiado ruido noches,2020,11,1
29,bar bueno central ubicación,2020,11,1
30,Bueno bonito barato dormir relajante⭐🙋🏻‍♂️✨,2020,10,1
31,excelente ubicación personal amable terraza vista increíble único gustó wifi llegaba bien habitación,2020,10,1
32,mejor backpacker CDMX buena ubicacion terraza barra puedes organizar cumpleaños limpias baños limpios llaves tarjeta eléctrica desayuno incluido Buffet terraza ascensor personal con…,2020,4,1
33,gustó mucho,2020,12,1
34,mejores lugares hospedarse,2021,3,1
35,Execelente lugar hospedarse centro CDMX privada pequeña agradable necesario Aunque parece haber mucha gente ambiente tranquilo perfecto descansar malo…,2020,4,1
36,bien Limpio Diversidad cultural Instalaciones limpias,2020,4,1
37,Lugar económico hospedarse  MXN noche incluye desayuno terraza gusto vistas hermosas noches puedes disfrutar rooftop unas cervezas cócteles embargo el…,2020,4,0
38,empleados amables atentos agradó esposa hospedarnos hostal gracias,2020,12,1
39,mejores hostales estado limpio ordenado excelente staff áreas sociales igual cerca todo buena relación costo  beneficio Actividades días huéspedes valorar permite conocer gente compartir demás,2017,4,1
40,Excelente servicio hospitalidad sugerimos mejorar menú desayuno,2020,10,1
41,hospedado varios zona mala suerte encontrarme chinches  excepción siempre limpias  llevo mas año llegando hospedar esporádicamente ustedespero…,2020,4,0
42,encanto lugar super ubicado zona centro mucja informacion util viajeros llegamos primera ves CDMX servicios ofrecen buenos vista atardecer terrasa buena,2019,4,1
43,Desayuno horrible mala atención caro,2021,3,0
44,quedé compartida sólo mujeres verdad opción ideal ahorre dólares pude conocer gente interesante camino cuarto sábanas limpias acogedoras  agradecido me…,2020,4,1
45,Necesita estacionamiento patrulla silenciosa puso inmovilizador inflexible dió oportunidad movernos colocar aparato mal después si aceptó dinero dió familiar hospedado mundo joven,2020,9,0
46,buena vista cuenta terraza puedes tomarte unas cervezas arriba bar llamado terraza incluye desayuno básico wifi privadas cómodas peculiares,2020,4,1
47,Aunque principio pareció lugar adecuado excelente ubicación precio accesible renté dos camas baño privado tantos inconvenientes  Pocos contactos eléctricos es…,2020,8,0
48,ruido noches  igualmente escucha tubería día agua bañarse nunca salió caliente   si bar terraza gran vista P,2020,9,0
49,Ubicación lugar buena serca gusto,2020,10,1
50,Gracias atención servicio cómoda perola luz principal techo funcionaba Aparte  noche ruidoPero definitiva dormí bien Gracias vez espero verlos vez Saludos,2020,4,1
51,Ofrecen buen desayuno hospedaje  Dan oportunidades trabajo viajeros necesitan mejor centro reunión viajeros viajeras dispuestos compartir conocer gente viajera miedo nosotros Conocí  lindas viajeras lindo conocerlas,2020,4,1
52,excelente viajeros presupuesto limitado cómodo ambiente agradable mejor terraza puede disfrutar unas bebidas excelente vista centro,2020,4,1
53,Comodo lugar limpio ordenado desayuno increíble abastecido Amplia cocina comedoe balcon Ademas preciosa terraza bar vista catedral,2019,4,1
54,general agradable pude ir concer terraza noche  evento dos dias interesaba eventosolo terraza tomar cerveza disfrutar vista  demas instalaciones basicas suficientes baños limpios desayuno basico excelente ubicacion,2020,4,1
55,primera vez hospedo hecho varias cosas encantan ubicación atención personal fiesta terraza cosas embargo detalles aún actualizan página el…,2020,4,0
56,encanta económico hospedarme pocos días debo ir Ciudad México trámites Además corazón Ciudad desayuno incluído costo hospedaje cuartos compartidos con…,2020,4,1
57,Excelente ubicación trato parte trabajan allí Cuenta terraza onda pub dónde podes ver Zócalo mientras degustas deliciosos tragos malo falta utensilios higiene cocina podría mejorar,2020,4,1
58,favorito precios razonables cualquiera compartida cómodas confortables fácil movilizarse allí cualquier lugar cercanía lugares…,2020,4,1
59,mejorar limpieza almohada sangre sábanas viejas percudidas pelos si lavado además quedaban colchón costó trabajo subirme bajarme la…,2020,4,0
60,super ubicación instalaciones atención servicio lavandería bar excelente mejor  baja inversión recibe,2020,4,1
61,buen lugar cerca,2020,4,1
62,Cómodo dormir amable personal,2020,4,1
63,Excelente sitio descansar buen precio doy cinco estrellas desayunos terraza ésta abierta huéspedes plus llegar evento subir seguir pasando noche ahí conociendo demás huéspedes ver amanecer,2020,4,0
64,Excelente ubicación Vista espectacular Recomendado,2019,4,1
65,Alquile cuarto privado baño demasiado caro comparación ofrece ventanas cuarto cerraban servían bisagras pase frió noche baños piso siempre cerrados…,2020,4,0
66,Cumplió espectativas excelente lugar buena hubicacion buen desayuno limpia terraza formidable si encantó lugar,2020,4,1
67,mejor lugar descansar cómoda tranquilamente buena vibra parte personal demás huéspedes ☺️,2020,4,1
68,Excelente trato invitan desayuno,2020,9,1
69,súper céntrico edificio bonito caso literas hacen ruido movimiento cualquiera dos lugares limpio caso sismo frente espacio amplio punto reunión…,2018,4,1
70,mejor Ciudad México Personal amable limpio ordenado clima amistad camaradería atracción aparte Siempre quiero volver ahí,2020,4,1
71,Baños sucios olor orinal extremo  días quito Pésimo servicio cliente almohadas tenia mancha sangre lugar escucha puede descansar azotea el…,2020,4,0
72,LUGAR UBICACIÓN INCREÍBLE EXCEPCIONAL  VISTAS TERRAZAS INCREÍBLES  PERSONAL LABORA RECEPCIÓN ASÍ CHICOS VOLUNTARIADO SIDO AMABLES RESPETUOSOS…,2020,4,1
73,buen lugar toco piso  cama doble privado tenia propio lavamanos cómodo baños compartidos limpios piso separado hombres mujeres…,2019,4,1
74,agradable hostal Justo atrás Catedral Recomendable si sitio día solo descanso escucha pasa vecinos ruidosos,2020,4,1
75,bien solamente servicios incompletos general fué estancia cómoda,2020,4,1
76,lugar estrategico centro avenidas principales atractivos turisticos servicios tours justo salir hostal,2020,9,1
77,TOO MUCH NOICE WE SLEPT AN AVERAGE OF  HOURS PER NIGHT I DO NOT RECOMEND IT lamentamos gente queda hablando voz alta madrugada dificil dormir aun tapones oido promedio  horas…,2020,4,0
78,Buena ubicación económico hostal ve mentalizado  estrellas,2020,4,1
79,Super buen servicio desayuno rico terraza espectacular,2020,4,1
80,principio parecía bien conforme días pésimo servicio arreglando terraza taladraban rompió parte techo decirles recepción solo disque limpiar dejaron pedazos del…,2020,4,0
81,Hacian ruido camas mobiniento dentro cabe exelnege,2020,10,1
82,excelente lugar hospedarse ciudad México precio noche accesible cuentan diferentes recámaras adaptan necesidades noche incluye desayuno sirve terraza una…,2020,4,1
83,Buen hostel Comodidad Ubicación Precio Buen bar terraza,2020,4,1
84,general bueno único servicios sanitarios siempre pasan sucios,2020,4,0
85,Excelente lugar relaciòn precio  servicios excelente ubicaciòn zona segura agua caliente asi orden limpieza motivo visita df academico laboral hubieramos deseado y…,2020,4,1
86,general lugar agradable hospedarse buena vista ubicación Grato ambiente gente amable atenta contestar preguntas surgen general buena experiencia puntos mejorar…,2020,4,1
87,Aunque descripción servicios dice pet friendly realidad PERMITEN MASCOTAS,2020,8,1
88,ventanas dan patio interior cristales mosquiteras apenas enchufe agua sale templada baja presión grifo lavabo sistema mantener presionado mano bajo agua salga agua realmente incómodo desayuno realmente vale pena,2020,12,0
89,genial desayuno hospedaje van acordes esperado Buen ambiente bien ubicación,2020,4,1
90,👍buen servisio,2019,4,1
91,bien ubicado Terraza animada bulliciosa fines semana,2020,4,1
92,lugar comodo buenas instalaciones personal amable ubicacion excelente cuarto locker recomiendo llevar candado,2020,4,1
93,Buen precio exelente equipo Servicio ricos desayunos buenas actividades huésped haci lograr buena convivencia resto personal recide,2020,4,1
94,lugar agradable gente ahí trabaja súper amable igual voluntarios siempre ayudan necesitas super tranquilo lugar,2020,4,1
95,mejor ubicacion parte hospedaje incluye desayuno tendras oportunidad conocer gente linda,2020,4,1
96,ofrece servicio excelencia llegas recepción Cuenta limpias cómodas Además ofrece increíbles vistas hacia centro histórico terraza convierte mejor centro nocturno ambiente música idóneo disfrutar noche desayuno plus riquísimo,2019,4,1
97,Excelente ubicación vs precio buena opción paso CDMX,2020,4,1
98,hospedado hostel terraza hermosa divertida tomar unas copas sábado cover cosa entiendo bar fin aún así buen lugar,2020,4,0
99,pareció bueno pequeñas bien par noches escucha bastante buya noche zona común cocina terraza cocina quedan cerca se…,2020,4,1
100,Espacios súper reducidos,2020,12,0
101,excelente buenas instalaciones pensadas viajero actual espacio adecuado desayuno brinda necesario surtido entendible rico restaurante tardes mejor terraza…,2019,4,1
102,Si viajas conocer ciudad cursos negocios lugar ideal hospedarte embargo descansar recomendaría debido ruido movimiento hospedaje incluye desayuno maravilla buffet Sólo mejoraría baños alguna cortina,2020,4,1
103,lugar agradable ir varias personas Recomendado,2020,4,1
104,personal amable camas cómodas ruido🤪 bar terraza  mal lugar si sueño ligero,2020,4,0
105,ruido fiestas nocturnas diarias domingo domingo salidas agradables Xochimilco,2018,4,0
106,atención momento llegar realmente satisfactoria personal atento hace sentir cómodo especificaciones quedan claras quedas ninguna duda ambiente dentro tranquilo estancia amena,2020,4,1
107,excelente ubicación perfecto caminar alrededores centro histórico seguro alcance centros comerciales restaurantes linda vista terraza parte agradecida atención…,2019,4,1
108,Excelente solo ruido demás Excelente limpio,2020,4,1
109,hospedamos  personas templada agradable limpieza deja desear regadera inundaba cada alguien bañaba colchones manchados sabanas…,2020,4,0
110,Dormir ahí fin semana ahí castigo Hacen fiestas terraza bar gente asiste organiza deja hacer ruido casi  am acceso personas hospedan mismo personas van…,2020,4,0
111,Venden toda publicidad engañosa Hostel lugar hacer amistades si vas pasar noche cool día recomiendo bar caro solo entra gente afuera desaceado el…,2020,4,1
112,Siempre lugar agradable accesible gustaba terraza parte público aún disfruta después tantos años utilizo visitas,2020,4,1
113,buena ubicacion demas regular habitacion pequeña descuidada senti falto mas limpieza regadera habitacion contaba televisor telefono desayuno incluyen pobre sino vas temprano alcanzas parte sirve vista terraza Hermosa,2020,4,0
114,Buen lugar céntrico buen precio ruido aceptable,2020,4,0
115,bueno excelente vista ciudad carece poquito vibra espera encontrar hostel parte lugar grande bien cómodas baños limpios agua caliente,2020,4,1
116,desee fácil cambiar país iniciar cero dio maravillosa acogida transición gracias inicialmente Andres Solis distancia dio seguridad continuar camino En…,2020,4,1
117,Ecuador primera vez viajé México pareció maravilla ubicación Hostel cuento reservé página web opción elegir ventana…,2020,4,0
118,buena ubicación atención excelente instalaciones,2020,4,1
119,recomendable bien ubicado,2019,4,1
120,ubicacion perfecto terrazza bonito lamenteblemente debido construyeron lugar acustica horrible resulta demasiado ruido hace casi imposible dormir Despues noche cancelamos…,2020,4,0
121,bien ubicado buena terraza desayuno cómodo bastante estrechas,2020,4,1
122,Realmente cumple tres «B» ubicado excelente lugar único ‘pero’ bar cierre PM aunque entiende causarle menores molestias huéspedes problema puede ser buena opción precopeo,2020,4,1
123,habitacion pequeña incomoda holor fetido camas veian tan limpias si quieres ahorrar pesos cambio comodidad buena opcion entendido distintos precio ¿Me volveria hospedar aqui si solo mejores,2020,4,0
124,lugar agradable ambiente alegre solo hace falta mejor atención parte chico atiende noches recepción olvidé llave dentro sugerencia pasará noche sillas…,2020,4,1
125,Excelente trato turismo,2020,10,1
126,Frente Zócalo bonito agradable atmósfera hostal fiesta terraza media noche Recomendado,2020,4,1
127,Excelente lugar puedes conocer personas mundo excelente ambiente gente amable buenas instalaciones céntricas,2020,4,1
128,Debido protesta antorchistas vine metro tapo Llegando hostel elevador servicio ducha quarto piso tambien lobby quize usar computadoras la…,2020,4,1
129,Extremadamente caro cuarto súper pequeño baño compartido televisión en dónde drenaje piso superior pasa cuarto escuchando cada hacen uso sanitario experiencia mala,2020,4,0
130,Visitando Terraza disfrutar vista ZocaloMusica Electronica Drinks 😎,2018,4,1
131,buena ubicación relación calidadprecio buena Quizás deban mejorar opciones desayuno,2020,4,1
132,super bien ubicado justo atrás Catedral zona segura llegar pie tarde cerca metro instalaciones cómodas limpias desayuno bueno empezar día además terraza…,2019,4,1
133,Ubicación excelente fachada bonita camas falta higiene gente tan puerca pegar chicles literas bien,2020,4,1
134,excelente buen precio amabilidad buena ubicación,2020,4,1
135,baño privado básico estancia ciudad único veo punto mejorar bajar volúmen música terraza ruido pasa invade toda terraza el…,2020,4,1
136,Excelente lugar pasarla bien recomendable limpio ordenado cerca zócalo,2020,4,1
137,Debido bar funciona terraza música escándalo extiende madrugada fines semana  lugar excelente ubicación ideal quedarse lunes jueves demás días imposible descansar ,2019,4,0
138,convenientemente localizado pasos Zócalo preciobeneficio hace bastante justo ruido bar encuentra planta alta exagerado amables limpieza buena aunque excelente lugar puedes convivir sanamente seguro,2019,4,1
139,Pésimo servicio hice reservación meses anticipación dos días dicen iba mantenimiento prometieron otra llego madrugada niño esposo salen con…,2020,4,0
140,verdad contento atención instalaciones terraza llegas lugar hacer amigos toda vida increíble desayuno si gustaría variado excelente pancakes  huevos frutas términos generales excelente,2020,4,1
141,bello lugar conocer personas,2020,4,1
142,Ubicación excelente buena atención terraza bar así terraza cocina excelentes Buena higiene,2020,4,1
143,Buen lugar excelente relación precio comodidad Solo agregaría personal restaurante activos pidiendo cosas cada rato demás bien,2020,4,1
144,servicio bueno personal atento aceptables único inconveniente hallé madrugada grupo huéspedes hablando voz alta dejaban dormir Sugiero entrar a…,2019,4,1
145,excelente lugar descanso,2020,9,1
146,gustó excelente ubicación cuenta corazón Centro Histórico puede llegar lugares interés caminando metro cuantos pasos si quiere…,2019,4,1
147,encuentra menos m plaza México cómodas precio paga bien,2020,4,0
