calificacion,fecha,nombre,opinion
ui_bubble_rating bubble_30, septiembre de 2019,viajera029,"El hostal está detrás de la Catedral y tiene 2 estaciones de metro muy cerca, caminando recorres el centro histórico, museo bellas artes, Alameda Central y la calle Madero, todo muy bonito pero no sabíamos que los fines de semana cierran el acceso al zócalo desde las 10 pm porque allí está el palacio de gobierno. Llegamos del aeropuerto a las 12.30 y el taxi no tenía cómo entrar y dejarnos en el hostal, lo más cercano fue 4 cuadras y estaba muy oscuro y solitario, hay muchos patrullemos alrededor del zócalo pero no en las calles aledañas y caminar con maletas fue una experiencia desagradable, felizmente estaban los que hacen limpieza y no estábamos tan solas. Es algo a tomar en cuenta si van a regresar tarde solo podrán en metro.  Tomamos un cuarto privado y es muy pequeño, los,…"
ui_bubble_rating bubble_10, agosto de 2019,Maite M,"El hotel huele horrible a caño, los baños sucios y apestan, no los lavan bien, MUCHO ruido!! Porque el bar del hotel está arriba y todos se escucha en todos los pisos, además de que los huéspedes hacen fiesta en sus cuartos esto no deberían permitirlo! Las sábanas sucias me toco mi funda manchada de sangre, el trato del personal es grosero y no les interesa tener un buen trato al huésped le dan más prioridad a los que vienen a las fiestas!! Me tocó que en el quinto piso cierran los baños con llave hay que bajar a otros pisos para poder usar el baño !"
ui_bubble_rating bubble_40, febrero de 2019,Denise C,"Es la tercera vez que me hospedo, las habitaciones son cómodas y amplias y los baños también. El desayuno tiene cereales, panes, jamón, queso, huevos. La cocina es cómoda, tiene elementos para cocinar y si no, hay un restobar al ingreso con buenos precios y opciones. La terraza es preciosa, un buen lugar para reunirse con otros huéspedes y además hay un bar para la tardecita/noche que pasa buena música. La ubicación es ideal para moverse a pie por el zócalo y los lugares del centro histórico, tenés el metro a una cuadra y en la puerta la parada del bus turístico. Hay además en la recepción, una agencia de turismo que ofrece muy buenas opciones para recorrer DF o lugares cercanos. Tantos los chicos de la recepción, del desayuno y de la agencia son muy amables y dispuestos a,…"
ui_bubble_rating bubble_40, junio de 2019,MoonkyPlata,"La ubicación es de lo mejor! A poca distancia de la estación del metro y de la calle Madero y sus tiendas y negocios. El que tenga ascensor es un plus que se agradece sobre todo cuando estás tan cansado y con muchas y pesadas maletas! El desayuno es muy muy básico, limitado pero aceptable. El personal de recepción es muy raro, en mi check in me tocó un chico super amable y carismático pero el resto de los chicos se muestran desinteresados y un poco fastidiados de atender a los huéspedes. La peor del personal es esa señora gorda de cabello medio rizado color café que está en el restaurant y si le preguntas algo te mira cómo si no trabajara ahí y todavía hasta voltea los ojos y hace muecas, definitivamente odia su trabajo! Es una pena que la terraza sólo esté abierta en la tardes,…"
ui_bubble_rating bubble_30, abril de 2019,Kathe D,"El lugar queda en una muy buena ubicación, al respaldo de la catedral metropolitana. Tienes la visión desde la terraza a la plaza del zócalo y la catedral. Fácil acceso al metro. Habitaciones limpias y cuentan con servicio de desayuno."
ui_bubble_rating bubble_40, febrero de 2012,missrach_walk,"El hostal está situado en una gran ubicación, esto es lo mejor del hostal. Nos alojamos en una habitación de 4 dormitorios cama que era tan pequeño, afortunadamente nuestros otros dos colegas de nuestra habitación nunca estuvimos y teníamos la habitación para nosotros 2 noches. El baño compartido con otra habitación estaba bien limpio y buena ducha caliente. Las camas no eran cómodas, muchas fuentes sobresalían por todas partes. Se convirtió en soportable tras unas cuantas noches, nos alojamos por 5 noches! También era como un túnel de ruido, todas las habitaciones tienen estas persianas que dan al medio del hostal y puedes mirar hacia abajo para el restaurante. Tienen una regla tranquila de tiempo después de las 11 pm, pero era bastante ruidoso de la zona de recepción hasta,…"
ui_bubble_rating bubble_50, diciembre de 2011,geronimoturtle,"Este hostal está situado en una fantástica ubicación detrás de la catedral y a poca distancia andando de todo en el centro histórico. Hay parques, museos, grandes almacenes y un gran supermercado cerca. El hostal es más como un hotel con una cocina comunitaria, una máquina de café y asientos al aire libre en la terraza con vistas a la plaza principal y un bar en la planta superior. El desayuno es bueno, pero por desgracia no proporcionan verdadero café como arriba. El personal es amable y muy servicial con nuestra remitiese reservas de viajes de autobús a Los Mochis. Las habitaciones pueden ser un poco ruidosas desde el patio, pero que se vuelve por la noche y no nos molestaron. Los baños comunes están limpias pero algunas veces no con un poco más de atención a los servicios por,…"
ui_bubble_rating bubble_30, enero de 2012,Don Wright,"Mundo joven Catedral está excelentemente ubicado justo detrás de la Catedral Metropolitana masiva y, por consiguiente, a sólo una manzana de la ciudad desde el Zócalo, el Templo Mayor, el Palacio Nacional y más. Esto también puede ser la primera inconveniente del hostal, porque es el piso más bullicioso albergue en el que me he alojado. No sólo por el ruido de la calle (tráfico, música, las alarmas de los coches, y la calle construcción justo enfrente hasta la medianoche), pero también por el ruido dentro del hostal. El patio interior embudos cada sonido de recepción y el restaurante del vestíbulo a través de todos los suelos del hostal, rebotando sobre pasos y antiguos muros de piedra en el camino. Mi pareja y yo estuvimos en la suite privada en la 5ª planta, aunque lo,…"
ui_bubble_rating bubble_40, febrero de 2011,megelizah,"Este era mi primer día en DF. y yo disfrutamos de mi estancia en el hostal. No había problema servicial mi llegada aunque llegué a las 5 de la mañana. La ubicación es fantástica si quieres hacer mucho turismo. La estación de metro de Zócalo era justo a la vuelta de la esquina (y yo nos lo tomamos 4/5 días que yo estuve allí, una forma estupenda para hacer tu viaje incluso más económico) y naturalmente hay lugares de interés justo fuera de la puerta. Cuando leí las críticas para el albergue me di cuenta de que muchos de quejas sobre ruido del bar/restaurante, pero nunca fue un problema, que parece que cierran bastante pronto (al menos durante la semana). Me quitaron un poco de problemas para dormir por culpa del ruido del tráfico y la calle (mi habitación daba a la catedral) pero,…"
ui_bubble_rating bubble_40, mayo de 2018,tcgallegosgonzalez,"Si quieres viajar a la ciudad de medico, conocer los mejores sitios turísticos y no gastar tanto este es una excelente opción, su ubicación te permite moverte caminando a todos lados. Sin embargo el mismo movimiento que tiene no permite que descanses muy bien, suele ser muy ruidoso por el mismo tipo de huéspedes que aloja"
