calificacion,fecha,nombre,opinion
ui_bubble_rating bubble_50, marzo de 2020,Carlos,"Excelente ubicación. Personal muy servicial y atento. Nos encantó. Planeamos regresar. Su restaurante de comida contemporánea mexicana es excelente y hornean un pan delicioso, que también pueden comprar para llevar. Dan recorridos por la ciudad para aquellas personas que no la conocen. Es una buena opción sin costo extra. Cuentan con servicio de planificación de actividades."
ui_bubble_rating bubble_50, marzo de 2020,Antonio H,"Estuvimos muy contentos, el hotel se ve como nuevo, fueron muy amables en la recepcion, el restaurante esta increíble y la comida deliciosa, en el buffett gratis del desayuno Brandon y Daniel fueron particularmente amables, con pandulce y tortillas recien hechas de cortesía. Excelente hotel muy ubicado, directo en el Zócalo (con estacionamiento propio sin costo)."
ui_bubble_rating bubble_50, febrero de 2020,NicolaMarzotto,Meseros muy gentiles y amables. Perfecto  equilibrio claridad/precio. Comida sabrosa y vista preciosa del zócalo. Una experiencia que todos tienen que hacer si visitan la ciudad de México. Muy recomendable. 
ui_bubble_rating bubble_50, febrero de 2020,Paula U,"Nos quedamos en este hotel la semana pasada, desgraciadamente sólo por dos noches, ya que nos hubiera encantado hacerlo por más tiempo. Lo que nos encantó: -la ubicación; -el servicio (los recepcionistas, el personal del restaurante y de la cafetería, así como concierge y botones); -las botellas de agua en cada piso (súper útiles en la Ciudad de México); -la habitación (limpia y agradable); -los detalles que nos dejaban por la noche; -el pan que ofrecen en el desayuno estaba espectacular; -el restaurante y las vistas. Lo que se podría mejorar: -la oferta de desayuno es un poquito limitada, lo que tienen está muy bien, pero podrían tener un poco más. En cualquier caso pienso quedarme en este hotel cada vez que vaya a México."
ui_bubble_rating bubble_50, abril de 2019,Liebre 3015,"Siempre que voy a CDMX solo en este hotel me hospedo. Es excelente, habitaciones amplias e impecables, un restaurante de primer nivel y con la mejor vista de la ciudad, la atención inmejorable, en el corazón del Centro Histórico, con detalles insuperables como el agua y las manzanas. Y frente al Zócalo, La Catedral y el Palacio Nacional; no se puede pedir más es el mejor."
ui_bubble_rating bubble_40,,Mato,"  El Holiday Inn ciudad de México justo en el centro del Zócalo es un encantador, limpio eficiente hotel. Las habitaciones son espaciosas y el personal está dispuesto a ayudar. El acceso gratuito a Internet en el vestíbulo es realmente bonito. Las vistas desde la terraza restaurante categoría es maravilloso.  "
ui_bubble_rating bubble_40,,DocDick_47,"La ubicación de este Holiday Inn - Zócalo es ideal para visitar varios días de actividades a pie. Las habitaciones son bonitas y bien ventilada, el personal muy servicial. Disfruté de la internet gratis. ¡Seguro los taxis son rápidamente médicos para llevar a los excelentes museos y parques en otras partes de la ciudad."
ui_bubble_rating bubble_50, septiembre de 2019,Elias Noriega,"La vista al Zócalo es increíble y visitarlo en septiembre justo en la fecha del grito de la independencia (15 de septiembre) es lo mejor, su ubicación es inmejorable, la atención del personal y las habitaciones muy lindas "
ui_bubble_rating bubble_50, abril de 2019,Luis C,"El Hotel tiene una excelente ubicación; sin mencionar de la vista increíble de su Restaurante donde te sirven el desayuno y puedes disfrutar de una cocina de primera a la hora del almuerzo y la cena!!  La atención del personal es excelente, son muy amables y todo el tiempo están muy atentos a cualquier requerimiento o necesidad!!  Lo recomiendo si quieres disfrutar de la vida del pleno centro de la Ciudad de México!!!"
ui_bubble_rating bubble_50, julio de 2019,Milagros QD,"Éramos 4 personas en una habitación realmente cómoda para el número. Realmente nos vamos con la mejor de las experiencias gracias a ellos que nos hacen sentir como en casa. El personal es súper amable, tendría que mencionarlos a todos. El desayuno es realmente acogedor y no hay forma de no disfrutar de esa hermosa vista que tienen, un privilegio. Además, la cafetería es muy completa y bien diversificada considerando que venimos de todas partes del mundo y de distintas edades. Me encantó, una atención de primera."
ui_bubble_rating bubble_50, junio de 2019,Cristina M,"Sin duda el mejor hotel en el zócalo de la Ciudad de México, hermoso, elegante, el restaurante de arriba delicioso además de tener una vista espectacular. Realmente el precio del hotel vale cada centavo, muy recomendable! "
