,opinion,mes,año,retroalimentacion
0,Excelente ubicación Personal servicial atento encantó Planeamos regresar restaurante comida contemporánea mexicana excelente hornean pan delicioso pueden comprar llevar Dan recorridos ciudad aquellas personas conocen buena opción costo extra Cuentan servicio planificación actividades,3,2020,1
1,contentos ve nuevo amables recepcion restaurante increíble comida deliciosa buffett gratis desayuno Brandon Daniel particularmente amables pandulce tortillas recien hechas cortesía Excelente ubicado directo Zócalo con estacionamiento propio costo,3,2020,1
2,Meseros gentiles amables Perfecto equilibrio claridadprecio Comida sabrosa vista preciosa zócalo experiencia hacer si visitan ciudad México recomendable,2,2020,1
3,quedamos semana pasada desgraciadamente sólo dos noches encantado hacerlo tiempo encantó la ubicación el servicio los recepcionistas personal restaurante cafetería así concierge botones las botellas agua cada piso súper útiles Ciudad México la habitación limpia agradable los detalles dejaban noche el pan ofrecen desayuno espectacular el restaurante vistas podría mejorar la oferta desayuno poquito limitada bien podrían tener más cualquier caso pienso quedarme cada vez vaya México,2,2020,1
4,Siempre voy CDMX solo hospedo excelente habitaciones amplias impecables restaurante primer nivel mejor vista ciudad atención inmejorable corazón Centro Histórico detalles insuperables agua manzanas frente Zócalo Catedral Palacio Nacional puede pedir mejor,4,2019,1
5,Holiday Inn ciudad México justo centro Zócalo encantador limpio eficiente hotel habitaciones espaciosas personal dispuesto ayudar acceso gratuito Internet vestíbulo realmente bonito vistas terraza restaurante categoría maravilloso,4,2019,1
6,ubicación Holiday Inn  Zócalo ideal visitar varios días actividades pie habitaciones bonitas bien ventilada personal servicial Disfruté internet gratis ¡Seguro taxis rápidamente médicos llevar excelentes museos parques partes ciudad,4,2019,1
7,vista Zócalo increíble visitarlo septiembre justo fecha grito independencia  septiembre mejor ubicación inmejorable atención personal habitaciones lindas,9,2019,1
8,excelente ubicación mencionar vista increíble Restaurante sirven desayuno puedes disfrutar cocina primera hora almuerzo cena atención personal excelente amables tiempo atentos cualquier requerimiento necesidad recomiendo si quieres disfrutar vida pleno centro Ciudad México,4,2019,1
9, personas habitación realmente cómoda número Realmente vamos mejor experiencias gracias hacen sentir casa personal súper amable mencionarlos todos desayuno realmente acogedor forma disfrutar hermosa vista tienen privilegio Además cafetería completa bien diversificada considerando venimos todas partes mundo distintas edades encantó atención primera,7,2019,1
10,duda mejor zócalo Ciudad México hermoso elegante restaurante arriba delicioso además tener vista espectacular Realmente precio vale cada centavo recomendable,6,2019,1
11,ubicación extraordinaria Plaza Constitución el Zócalo justo lado catedral habitación baño habitación reservamos pequeños aunque bastante completos desayuno toma terraza unas vistas magníficas catedral palacio nacional conjunto plaza Zócalo Ofrece parking gratis Aunque probamos dijeron consumiciones cafetería gratis salvo bebidas alcohólicas,6,2019,1
12,lugar agradable vista espectacular Catedral enfrente viendo perfil hermoso vista panorámica plancha Zócalo capitalino disfrutando empezar rico café pan dulce luego chilaquiles carne asada deliciosos recomendable hacer reservación anticipación lugar visitado,9,2019,1
13,Hola Viajeros siempre sere breve continuacion hago saber perspectivas hospedaje  Desayuno incluido buen saborrecomiendo pedir carta alimento buffet frio cena gusto cara aun vee sabrosa  recomiendo visitar costado recepcion cafeteria snacks panninis papitas frapes pastelitos etcmuy amable chica atendio la habitacion gusto chica super bien amueblada colchon kingsize ver gastado colchon general bien buena limpieza  chicos chicas recepcion bien amables  precios habitaciones razonables  aprox  x noche  tomando cuenta que…,10,2019,1
14,Viaje familia Ciudad México visita rápida turismo quedamos noche separamos dos habitaciones llegar Check in dieron dos habitaciones pisos diferentes pido si pueden solo piso indican disponibilidad llegamos habitaciones tocan puerta preguntar cómo todo cabe mencionar dos habitaciones llaves abrían puerta pudimos entrar Housekeeping abrió puerta amablemente informamos funcionan llaves mandar cambiarlas indican si pudieron encontrar habitaciones emocionamos poder lado preguntamos indican ocupado habitaciones y…,9,2019,1
15, días servicio super excelentisimo habitaciones limpias Isabel chica limpiaba cuarto super amable atenta nosotros lugar centrico puede llevar quieras restaurante mejor vista Zocalo atención bueno chicos super amables atentos educados chilaquiles verdes deliciosos general comida primera mantienen informado si necesitas algo siempre estan atentos contigo fin vamos contenta México solo primera sino llevamos mejores experiencias campechana marido Joost holandes,9,2019,1
